사업번호,사업명,문서_소관기관,소관기관_정규화,분야_정규화,부문_정규화,프로그램_정규화,회계기금_정규화,지원형태_정규화,예산2026_통합_백만원,예산2026_통합_억원,2026열1_라벨,2026열2_라벨,2026열1_백만원,2026열2_백만원,내역사업_건수,사업시행방법,사업시행주체
273,빅데이터기반인공지능 도시계획기술개발(R&D),국토교통부,국토교통부,교통 및 물류,물류 등 기타,국토교통연구개발,일반회계,출연,6016.0,60.16,정부안,확정(B),6016.0,6016.0,1,출연(참여기업이 있는 경우 Matching),국토교통부(전문기관 : 국토교통과학기술진흥원)
274,빅데이터기반철도네트워크 설계및운영기술개발(R&D),국토교통부,국토교통부,교통 및 물류,물류 등 기타,국토교통연구개발,교통시설 특별회계,출연,3000.0,30.0,정부안,확정(B),3000.0,3000.0,1,출연(참여기업이 있는 경우 Matching),국토교통부(전문기관 : 국토교통과학기술진흥원)
275,스마트+빌딩핵심기술개발 (R&D),국토교통부,국토교통부,교통 및 물류,물류 등 기타,국토교통연구개발,일반회계,출연,5048.0,50.48,정부안,확정(B),5048.0,5048.0,1,출연(참여기업이 있는 경우 Matching),국토교통부(전문기관 : 국토교통과학기술진흥원)
276,스마트시티인프라AIoT 핵심기술개발(R&D),국토교통부,국토교통부,교통 및 물류,물류 등 기타,국토교통연구개발,일반회계,출연,6000.0,60.0,정부안,확정(B),6000.0,6000.0,1,출연(참여기업이 있는 경우 Matching),국토교통부(전문기관 : 국토교통과학기술진흥원)
277,스마트시티 확산사업,국토교통부,국토교통부,국토 및 지역개발,지역 및 도시,도시정책,일반회계,"직접, 보조",31615.0,316.15,정부안,확정(B),28115.0,31615.0,4,민간위탁,스마트도시지원기관(민간위탁)
278,스마트철도물류혁신기술개발 (R&D),국토교통부,국토교통부,교통 및 물류,물류 등 기타,국토교통연구개발,교통시설 특별회계,출연,2000.0,20.0,정부안,확정(B),2000.0,2000.0,1,출연(참여기업이 있는 경우 Matching),국토교통부(전문기관 : 국토교통과학기술진흥원)
279,운전자페달오조작방지및평가 기술개발(R&D),국토교통부,국토교통부,교통 및 물류,물류 등 기타,국토교통연구개발,일반회계,출연,2600.0,26.0,정부안,확정(B),2600.0,2600.0,1,출연(참여기업이 있는 경우 Matching),국토교통부(전문기관 : 국토교통과학기술진흥원)
280,자율자동차 상용화,국토교통부,국토교통부,교통 및 물류,물류 등 기타,자동차및교통정책,일반회계,"직접, 출연, 보조",9829.0,98.29,정부안,확정(B),9429.0,9829.0,2,"직접수행, 출연, 지자체보조, 민간위탁 등","국토부(직접수행), 한국교통안전공단(출연), 한국교통연구원·한국 교통안전공단(민간위탁), 시범운행지구 서비스 지자체(지자체보조) 등"
281,자율주행글로벌혁신클러스터 연구개발사업(R&D),국토교통부,국토교통부,교통 및 물류,물류 등 기타,국토교통연구개발,일반회계,출연,3400.0,34.0,정부안,확정(B),3400.0,3400.0,1,출연(참여기업이 있는 경우 Matching),국토교통부(전문기관 : 국토교통과학기술진흥원)
282,지역단위재난위험도AI시뮬레 이션기반재난안전관리기술개 발(R&D),국토교통부,국토교통부,교통 및 물류,물류 등 기타,국토교통연구개발,일반회계,출연,2000.0,20.0,정부안,확정(B),2000.0,2000.0,1,출연(참여기업이 있는 경우 Matching),국토교통부(전문기관 : 국토교통과학기술진흥원)
283,지역특화형자율주행서비스모 델및실증기술개발(R&D),국토교통부,국토교통부,교통 및 물류,물류 등 기타,국토교통연구개발,일반회계,출연,4500.0,45.0,정부안,확정(B),4500.0,4500.0,1,출연(참여기업이 있는 경우 Matching),국토교통부(전문기관 : 국토교통과학기술진흥원)
284,철도차량차륜자동검사시스템 기술개발(R&D),국토교통부,국토교통부,교통 및 물류,물류 등 기타,국토교통연구개발,교통시설 특별회계,출연,2169.0,21.69,정부안,확정(B),2169.0,2169.0,1,출연(참여기업이 있는 경우 Matching),국토교통부(전문기관 : 국토교통과학기술진흥원)
285,철도치안관리,국토교통부,국토교통부,교통 및 물류,철도,철도안전 및 운영,일반회계,직접,13599.0,135.99,정부안,확정(B),13599.0,13599.0,1,직접수행,국가
286,초고층복합시설 복합재난관리디지털플랫폼 기술개발(R&D),국토교통부,국토교통부,교통 및 물류,물류 등 기타,국토교통연구개발,일반회계,출연,2000.0,20.0,정부안,확정(B),2000.0,2000.0,1,출연,국토교통부(전문기관 : 국토교통과학기술진흥원)
287,초연결지능도시핵심 기반기술개발(R&D),국토교통부,국토교통부,교통 및 물류,물류 등 기타,국토교통연구개발,일반회계,출연,4000.0,40.0,정부안,확정(B),4000.0,4000.0,1,출연(참여기업이 있는 경우 Matching),국토교통부(전문기관 : 국토교통과학기술진흥원)
